fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-06-30,2023-08-07,-0.02,-0.09,0.07,77.7778
2023-03-31,2023-05-09,-0.04,-0.1,0.06,60
2022-12-31,2023-03-16,-0.05,-0.15,0.1,66.6667
2022-09-30,2022-11-10,-0.26,-0.11,-0.15,-136.3636
2022-06-30,2022-08-11,-0.0526,-0.15,0.0974,64.9333
2022-03-31,2022-05-16,-0.1,-0.17,0.07,41.1765
2021-12-31,2022-03-29,-0.61,-0.07,-0.54,-771.4286
2021-09-30,2021-11-15,-0.22,-0.04,-0.18,-450
2021-06-30,2021-07-28,-0.26,-3.11,2.85,91.6399
2021-03-31,2021-06-01,-0.11,None,None,None
2020-12-31,2021-03-31,-45.8228,None,None,None
2020-09-30,2020-11-09,-0.01,None,None,None
2020-06-30,2020-08-07,-0.04,0,-0.04,None
2020-03-31,2020-05-04,-31.8363,None,None,None
2019-12-31,2020-03-31,-37.1302,None,None,None
2019-09-30,2019-12-31,-47.0771,None,None,None
2019-06-30,2019-06-30,0.0356,None,None,None
2019-03-31,2019-03-31,0.0083,None,None,None
