fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-06-30,2023-08-07,0.05,0.05,0,0
2023-03-31,2023-05-08,0.05,0.04,0.01,25
2022-12-31,2023-02-13,0.04,0.03,0.01,33.3333
2022-09-30,2022-11-07,0.01,0.02,-0.01,-50
2022-06-30,2022-08-08,-0.01,0.03,-0.04,-133.3333
2022-03-31,2022-05-09,0.02,0.04,-0.02,-50
2021-12-31,2022-02-17,0.02,0.04,-0.02,-50
2021-09-30,2021-11-09,0.04,0.04,0,0
2021-06-30,2021-08-12,0.04,0.04,0,0
2021-03-31,2021-05-11,0.04,0.04,0,0
2020-12-31,2021-02-16,0.06,0.02,0.04,200
2020-09-30,2020-11-12,0.09,0.02,0.07,350
2020-06-30,2020-09-30,0.01,0,0.01,None
