ticker,Q1,Q2,Q3,Q4,fiscal_end
AMZN,03-31,06-30,09-30,12-31,12-31
CHPT,04-30,07-31,10-31,01-31,01-31
MSFT,09-30,12-31,03-31,06-30,06-30
AAPL,12-31,03-31,06-30,09-24,09-24
AVAV,07-29,10-29,01-28,04-30,04-30
KTOS,03-31,06-30,09-30,12-31,12-25
META,03-31,06-30,09-30,12-31,12-31
SMR,03-31,06-30,09-30,12-31,12-31
ORCL,08-31,11-30,02-28,05-31,05-31
MVST,03-31,06-30,09-30,12-31,12-31
RKLB,03-31,06-30,09-30,12-31,12-31
PLTR,03-31,06-30,09-30,12-31,12-31
CAT,03-31,06-30,09-30,12-31,12-31
LMT,03-31,06-30,09-30,12-31,12-31
RTX,03-31,06-30,09-30,12-31,12-31
SMCI,09-30,12-31,03-31,06-30,06-30
